   2.6180e+02   1.3820e+02   3.6180e+02   3.8197e+01   3.1756e+02   8.2443e+01   3.9021e+02   9.7887e+00   2.0000e+02

   4.2533e-01   4.2533e-01   2.6287e-01   2.6287e-01  -3.6180e-01  -3.6180e-01   1.3820e-01   1.3820e-01   4.4721e-01
  -2.6287e-01   2.6287e-01  -4.2533e-01   4.2533e-01   4.2533e-01  -4.2533e-01  -2.6287e-01   2.6287e-01  -3.6371e-12
  -2.6287e-01  -2.6287e-01   4.2533e-01   4.2533e-01  -1.3820e-01  -1.3820e-01   3.6180e-01   3.6180e-01  -4.4721e-01
   4.2533e-01  -4.2533e-01  -2.6287e-01   2.6287e-01  -2.6287e-01   2.6287e-01  -4.2533e-01   4.2533e-01   5.5829e-12
  -6.3646e-12   1.0036e-12  -3.6179e-14   1.4978e-13   4.4721e-01   4.4721e-01   4.4721e-01   4.4721e-01   4.4721e-01
  -4.2533e-01   4.2533e-01   2.6287e-01  -2.6287e-01  -2.6287e-01   2.6287e-01  -4.2533e-01   4.2533e-01  -6.1181e-12
   2.6287e-01   2.6287e-01  -4.2533e-01  -4.2533e-01  -1.3820e-01  -1.3820e-01   3.6180e-01   3.6180e-01  -4.4721e-01
   2.6287e-01  -2.6287e-01   4.2533e-01  -4.2533e-01   4.2533e-01  -4.2533e-01  -2.6287e-01   2.6287e-01   4.5000e-12
  -4.2533e-01  -4.2533e-01  -2.6287e-01  -2.6287e-01  -3.6180e-01  -3.6180e-01   1.3820e-01   1.3820e-01   4.4721e-01
